Nome,CPF,DataNascimento,Agencia,Conta,DAC,Email,DDD,Telefone,Endereco,Complemento,Cidade,Estado,CEP
Silas Macedo,039.381.146-81,30/11/1955,4531,61306,8,Sheldon95@gmail.com,14,947973753,0854 Aline Marginal,Apto. 825,Melodo Norte,Mato Grosso do Sul,38823
Lucas Batista,104.120.648-80,20/08/1965,6864,14160,4,Dawn_Batista80@bol.com.br,26,911482709,100 Costa Rodovia,Apto. 562,Velha Vicente,Mato Grosso do Sul,30726
Isabela Melo,512.827.991-00,06/03/1957,6547,54119,4,Lynn69@hotmail.com,34,966004775,8074 Hugo Rodovia,Quadra 02,Fabríciade Nossa Senhora,Santa Catarina,97876-719
Nataniel Braga,214.356.611-50,16/10/1964,2903,71262,2,Stacy.Souza@yahoo.com,24,996070873,002 Franco Rodovia,Apto. 753,Vila Esther,Maranhão,74782-040
Natália Martins,734.813.522-63,19/08/1959,5926,67755,5,Ignacio56@hotmail.com,33,925772174,6373 Xavier Viela,Lote 72,Martinsde Nossa Senhora,Amazonas,99747-803
Júlio César Carvalho,111.951.901-23,17/04/1973,9964,4843,4,Marc.Saraiva35@bol.com.br,30,936802646,8884 Saraiva Rua,Casa 1,Martinsdo Norte,Amazonas,44515-061
Lucas Albuquerque,592.455.410-45,05/04/2000,6807,26985,2,Darren.Barros@bol.com.br,55,980839682,5117 Moraes Rua,Sobrado 01,Bragado Descoberto,Acre,50323
Fabrício Franco,526.257.864-00,16/01/1996,2022,33420,8,Heather.Carvalho64@hotmail.com,49,976508649,73187 Fabrícia Ponte,Casa 7,Larissado Norte,Tocantins,07584
Yuri Melo,313.863.409-52,03/06/1993,6545,48698,8,Melba.Saraiva@live.com,14,931249887,841 Félix Marginal,Lote 72,Vila Salvadordo Norte,Roraima,66417-734
Lucas Batista,945.002.207-04,09/06/1995,8877,18101,6,Craig_Carvalho60@gmail.com,55,974906593,404 Roberto Alameda,Apto. 291,Município de Gúbio,Goiás,72385
Rafael Santos,754.296.150-05,24/12/1964,9772,74079,2,Everett_Costa89@live.com,50,941208492,233 Souza Alameda,Sobrado 55,Paulodo Sul,Espírito Santo,79168
Alessandro Moreira,222.666.669-91,13/09/1973,5918,51199,8,Kelley.Santos27@gmail.com,20,978903383,548 Reis Marginal,Quadra 77,Pablodo Norte,Mato Grosso,77400-523
Roberto Franco,337.085.757-09,08/02/1980,1651,24752,7,Rene22@live.com,32,956816123,4320 Xavier Viela,Lote 52,Gúbiode Nossa Senhora,Piauí,09159-249
João Costa,443.463.016-49,02/03/1960,175,19691,2,Norma_Batista52@yahoo.com,12,958388711,61914 Melo Rua,Lote 87,Brenode Nossa Senhora,Ceará,60379-424
Carla Macedo,807.654.833-00,23/12/1954,6521,7300,6,Lawrence_Xavier20@live.com,58,946075643,223 Souza Alameda,Casa 6,Município de Sílvia,Mato Grosso,64187-826
Marli Xavier,985.657.825-65,07/10/1952,2474,74262,2,Erin_Nogueira74@gmail.com,36,949751816,279 Guilherme Avenida,Sobrado 32,Yangode Nossa Senhora,Paraná,19905-437
Esther Batista,913.795.442-38,22/07/1989,1570,64864,9,Ada22@hotmail.com,29,975075778,153 Barros Viela,Casa 8,Salvadordo Norte,Tocantins,34390
Rafaela Martins,369.100.408-30,20/09/1993,3540,49744,9,Gilbert17@yahoo.com,21,974891850,378 Rafael Avenida,Casa 9,Moraesdo Descoberto,Rio Grande do Sul,77816
Fabrícia Moreira,066.361.964-59,08/01/2000,203,65722,9,Edith_Saraiva67@hotmail.com,16,960094874,302 Gúbio Avenida,Sobrado 39,Velha Paulodo Norte,São Paulo,15362-930
Bruna Martins,850.155.125-20,13/03/1957,4393,14392,2,Darrel51@bol.com.br,13,927292348,94373 Vicente Rua,Apto. 300,Sarado Descoberto,Mato Grosso,31112
Vitória Nogueira,552.279.661-84,10/03/1997,2606,67132,5,Yolanda99@gmail.com,27,945029205,764 Costa Viela,Quadra 38,Município de Alinedo Norte,Bahia,50811-021
Carla Saraiva,395.468.048-35,16/07/1976,2353,79525,1,Jeanne.Barros@hotmail.com,35,985423362,1912 Silas Rua,Quadra 91,Grande Paulo,Sergipe,20301
Júlia Xavier,952.909.533-37,30/09/1974,6402,1848,6,Louise_Silva@hotmail.com,30,983834632,016 Sirineu Avenida,Apto. 107,Velha Karla,Ceará,04424-948
Alessandro Carvalho,675.367.412-86,15/01/1992,8474,26509,2,Elijah81@live.com,43,927858543,362 Souza Avenida,Quadra 99,Vila Márciade Nossa Senhora,Tocantins,54251
Dalila Reis,596.631.395-44,10/07/1997,2350,65622,1,Rose59@live.com,58,968109384,008 Hélio Travessa,Casa 1,Francode Nossa Senhora,Piauí,28500
Bruna Souza,751.884.066-91,03/09/1976,5632,48288,5,Clifton.Macedo@live.com,23,966119471,149 Roberto Ponte,Quadra 31,Vila Sílviado Descoberto,São Paulo,30869
Paula Macedo,227.249.650-43,04/11/1969,6505,21130,4,Vernon.Moreira@live.com,57,965405647,25049 Janaína Travessa,Casa 9,Município de Sara,Bahia,57086-955
Fabrícia Melo,898.680.867-60,02/05/1952,423,17290,4,Gregg_Souza52@bol.com.br,51,922229242,56649 Martins Rua,Sobrado 40,Vila Guilherme,Mato Grosso do Sul,60645-953
Deneval Macedo,530.551.252-23,23/01/1965,690,64318,8,Doyle.Batista@live.com,47,925725443,95164 Carvalho Rodovia,Quadra 18,Vila Natanieldo Descoberto,Minas Gerais,94815
Ricardo Nogueira,183.028.218-29,17/02/1958,2862,21775,2,Spencer_Carvalho@bol.com.br,13,972951894,35425 Sara Ponte,Sobrado 14,Francode Nossa Senhora,Paraíba,39893-023
Hélio Melo,214.071.963-83,28/12/1958,5877,10579,5,Mary.Oliveira8@gmail.com,52,997156345,3219 Gustavo Avenida,Casa 9,Município de Carla,Minas Gerais,68151-597
Isabel Macedo,108.698.747-05,02/02/1974,3295,97493,5,Gilbert.Pereira19@yahoo.com,43,939889840,2293 Larissa Travessa,Quadra 00,Oliveirado Sul,São Paulo,75113-803
Alessandro Oliveira,392.097.619-36,25/06/1997,7852,69680,7,Patrick57@gmail.com,11,943727688,1931 Souza Avenida,Apto. 510,Município de Yangodo Norte,Amapá,72491-758
Heitor Nogueira,225.781.042-20,11/04/1992,2637,42308,6,Emily9@yahoo.com,15,936902718,5135 Souza Rodovia,Apto. 820,Município de Maria,Piauí,90599-624
Larissa Braga,867.849.520-06,15/11/1958,544,1518,3,Shannon_Costa@bol.com.br,45,943615741,505 Alessandra Avenida,Apto. 722,Melodo Descoberto,Espírito Santo,60110
Tertuliano Reis,676.794.294-48,01/05/1956,4498,22932,6,Gary_Braga33@live.com,54,939749353,309 Santos Avenida,Casa 4,Saraivado Norte,Bahia,08840-703
Suélen Melo,664.582.466-17,14/08/1974,9032,57925,7,Marie6@hotmail.com,57,941931531,8045 Tertuliano Travessa,Lote 60,Grande Aline,Santa Catarina,55282
Gustavo Oliveira,947.021.067-08,25/04/1987,9530,45238,1,Kayla.Melo@bol.com.br,34,957093824,01903 Nogueira Avenida,Lote 97,Martinsde Nossa Senhora,Roraima,47664
Vicente Melo,300.888.968-97,26/10/1971,2745,90321,6,Ana90@live.com,20,977712750,88816 Barros Rua,Casa 0,Nova Paulado Norte,Rio de Janeiro,15490-600
Sirineu Pereira,911.242.891-43,13/05/1977,5076,16466,4,Laurence66@yahoo.com,21,960489787,25373 Félix Viela,Apto. 395,Carlado Sul,Acre,16149
Gúbio Barros,367.210.142-70,07/07/1999,6946,50424,4,Rosie_Barros8@gmail.com,59,949785606,99487 Eduardo Alameda,Quadra 12,Xavierdo Descoberto,Distrito Federal,31261
Suélen Moraes,433.750.559-86,27/04/1996,4687,26291,8,Matt_Saraiva@gmail.com,28,921004990,93445 Suélen Avenida,Apto. 497,Brunado Descoberto,Alagoas,46002
Nataniel Batista,565.199.915-97,29/03/1956,7577,60719,6,Ernesto_Costa@bol.com.br,11,911128244,1996 Gustavo Viela,Quadra 95,Tertulianodo Norte,Espírito Santo,85554-738
Alexandre Carvalho,922.219.626-05,09/01/1988,1253,45417,9,Loretta.Souza@live.com,60,931595694,10475 Júlio Avenida,Sobrado 39,Barrosdo Descoberto,Sergipe,80799
Suélen Melo,490.113.524-40,03/06/1998,4250,16497,8,Shawna_Carvalho25@gmail.com,46,930053055,138 Silas Ponte,Casa 6,Saraivado Norte,Pernambuco,82331-203
Sara Nogueira,660.265.048-34,22/02/1964,8660,55966,8,Darrin.Carvalho@hotmail.com,48,988876453,945 Franco Avenida,Sobrado 96,Márciado Sul,Bahia,55517-849
Alexandre Xavier,191.958.663-61,03/12/1951,1095,27506,4,Mae.Pereira@gmail.com,32,977443727,8608 Alessandro Alameda,Casa 3,Dalilado Sul,Ceará,17862-132
Ladislau Franco,544.479.560-47,12/06/1966,9478,38306,6,Priscilla15@yahoo.com,21,957585933,5858 Mércia Rua,Sobrado 60,Saraivado Norte,Sergipe,69708
Fabrício Carvalho,992.574.581-05,03/07/1960,4057,24831,6,Ricky.Costa15@bol.com.br,22,961160443,303 Silva Alameda,Quadra 60,Félixdo Norte,Piauí,22745-814
Paula Silva,468.932.730-02,11/07/1996,6254,77404,6,Rufus_Santos@yahoo.com,13,943539242,11718 Souza Avenida,Sobrado 97,Velha Cecília,Paraná,77717-004
Yago Reis,655.113.487-40,04/04/1967,1226,31453,9,Ignacio_Xavier10@hotmail.com,30,913405285,9656 Macedo Travessa,Quadra 99,Bragado Sul,Alagoas,02492-396
Dalila Melo,103.683.537-53,15/08/1984,184,22337,4,Janice_Braga18@bol.com.br,46,945279567,88084 Albuquerque Viela,Casa 2,Carvalhodo Norte,Santa Catarina,96695-880
Vicente Santos,243.626.466-04,18/12/1964,8928,76593,3,Henrietta_Martins23@bol.com.br,38,929402121,85232 Carvalho Ponte,Quadra 66,Grande Alessandra,Mato Grosso,52930-498
Frederico Franco,646.241.331-02,04/11/1967,3921,75121,7,Walter.Reis@live.com,31,956919293,373 Washington Rodovia,Sobrado 69,Carvalhode Nossa Senhora,Pará,81839-873
Larissa Batista,299.267.592-03,31/12/1970,3559,1530,3,Ira_Xavier97@gmail.com,46,938065631,0055 Barros Alameda,Apto. 117,Costade Nossa Senhora,São Paulo,49005-236
Danilo Moreira,790.537.420-34,07/02/1959,7934,68522,8,Everett.Barros37@gmail.com,40,981716856,36903 Félix Alameda,Quadra 67,Grande Breno,Tocantins,84471-164
Yuri Martins,005.340.946-94,11/11/1951,8037,24829,2,Karla17@hotmail.com,36,964976177,450 Pereira Marginal,Casa 4,Danilode Nossa Senhora,Piauí,21882
Hugo Souza,482.383.482-85,01/02/1980,7667,16612,4,Shirley.Carvalho86@bol.com.br,32,951921869,9932 Júlio César Viela,Apto. 469,Mérciado Descoberto,Maranhão,52180
Lorraine Saraiva,144.340.541-80,17/10/1953,4726,90721,4,Bennie.Batista91@yahoo.com,23,930558020,604 Oliveira Ponte,Casa 7,Albuquerquede Nossa Senhora,Mato Grosso,08408
César Souza,532.098.525-88,19/12/1953,4871,46389,6,Meredith_Saraiva@live.com,60,958454486,4024 Macedo Travessa,Lote 54,Guilhermede Nossa Senhora,Minas Gerais,18543-208
Suélen Costa,129.393.747-91,11/02/1993,9427,82980,9,Maria_Silva@live.com,36,992155529,970 Kléber Travessa,Apto. 485,Velha Júliodo Sul,Sergipe,39934-922
Sílvia Moraes,576.213.779-17,08/04/1990,3368,14512,6,Janie67@yahoo.com,17,965184031,430 Lucas Travessa,Lote 41,Vila Fabríciade Nossa Senhora,Amapá,12858-532
Félix Xavier,677.365.321-50,28/06/1955,7675,42157,2,James54@hotmail.com,33,971956347,505 Braga Avenida,Lote 52,Nova Júlio César,Rio de Janeiro,49291-671
Salvador Batista,947.332.903-22,23/05/1968,3866,10287,5,Rudolph27@gmail.com,52,986754628,92122 Batista Rodovia,Quadra 95,Nova Júlio Césarde Nossa Senhora,Minas Gerais,60015
Júlio César Souza,657.905.912-56,05/03/1995,7282,19786,6,Cynthia_Braga@gmail.com,36,931723753,82880 Reis Viela,Apto. 872,Município de Hugodo Descoberto,Santa Catarina,61985-299
Marcela Nogueira,164.905.780-69,17/03/1957,1723,17981,2,Angela40@yahoo.com,32,975975583,98331 Reis Ponte,Quadra 04,Velha Rafael,Ceará,53102-665
Fabrícia Nogueira,785.436.534-28,16/02/1956,4594,32211,3,Diana_Moraes33@bol.com.br,20,947257326,9675 Albuquerque Alameda,Sobrado 55,Grande Oféliado Norte,Ceará,75512-038
Pablo Moreira,462.054.552-00,05/07/1992,7105,89183,1,Milton_Santos@yahoo.com,47,915595988,9624 Talita Alameda,Quadra 54,Silvado Sul,Pernambuco,58301
Lucas Albuquerque,474.262.807-13,26/02/1988,9894,60803,1,Brendan_Moraes38@hotmail.com,33,962397316,743 Batista Marginal,Sobrado 44,Melodo Norte,Espírito Santo,84683-338
Joana Barros,750.243.197-70,25/08/1997,4248,15383,8,Moses54@bol.com.br,30,938369807,06226 Nogueira Alameda,Apto. 777,Washingtondo Sul,Amazonas,96196-218
Marcelo Souza,562.859.576-49,04/12/1964,144,22714,2,Marion_Braga5@gmail.com,51,983815067,7748 Karla Rodovia,Apto. 830,Fredericode Nossa Senhora,Alagoas,38119-817
Nataniel Franco,094.736.043-35,23/07/1966,8518,85983,5,Regina9@yahoo.com,37,914363032,4753 Marcelo Viela,Quadra 30,Nova Mérciado Descoberto,Distrito Federal,19438
Natália Costa,302.859.054-90,05/09/1978,7096,82661,2,Nick_Moreira@hotmail.com,25,985045619,489 Silva Marginal,Apto. 699,Município de Kléber,Distrito Federal,82921
Joana Moreira,164.276.102-87,27/01/1965,4712,3665,4,Monica_Melo73@yahoo.com,31,965498540,1289 Barros Avenida,Sobrado 07,Grande Heitordo Descoberto,Maranhão,01988
Danilo Oliveira,062.172.779-21,03/07/1978,9721,85915,4,Tommie.Franco@yahoo.com,30,976955637,173 Braga Travessa,Lote 02,Eduardodo Sul,Rio Grande do Sul,09364-600
Marcela Pereira,547.465.315-87,15/07/1989,7760,48669,1,Traci_Oliveira@live.com,37,917014184,61686 Aline Rua,Casa 5,Reisdo Descoberto,Amapá,36455-195
Sirineu Batista,112.067.456-57,20/12/1998,8495,5899,4,Mandy.Reis@gmail.com,57,963872071,953 Rafaela Alameda,Quadra 33,Nova Vicente,Rondônia,97843
Mércia Moreira,614.265.794-38,26/11/1982,4232,76959,3,Sharon_Costa11@live.com,42,963548643,0235 Warley Ponte,Casa 8,Xavierdo Sul,Minas Gerais,55678
Ígor Costa,290.788.222-87,08/05/1995,308,20580,4,Ray_Xavier@hotmail.com,44,927093535,7828 Júlio César Alameda,Lote 20,Vitóriado Sul,Amazonas,97946-193
Gustavo Macedo,670.395.428-38,31/10/1971,5697,18877,6,Sammy51@yahoo.com,14,986971307,7640 Carvalho Travessa,Apto. 876,Fredericode Nossa Senhora,Roraima,59086-815
Hélio Souza,505.681.123-85,28/12/1952,5257,3317,9,Shelley_Saraiva84@bol.com.br,28,996782373,6127 Carvalho Avenida,Sobrado 96,Município de Silasde Nossa Senhora,Paraná,00888
Norberto Reis,743.208.318-53,09/09/1993,781,65216,5,Jennifer23@hotmail.com,43,966153184,802 Barros Avenida,Casa 4,Município de Natanieldo Descoberto,Paraíba,00347
Víctor Silva,482.843.936-62,04/11/1952,5861,74126,2,Joanne_Santos@hotmail.com,49,963294709,11693 Barros Ponte,Apto. 325,Gúbiodo Descoberto,Rio Grande do Sul,49451
Márcia Batista,162.788.472-64,17/08/1960,9572,82708,4,Geneva76@bol.com.br,37,986987316,8551 Ladislau Alameda,Casa 4,Natanieldo Sul,Amapá,65444-419
Elísio Santos,532.195.827-02,05/04/1962,5480,65203,7,Jennifer43@yahoo.com,59,988646334,21845 Moreira Rodovia,Casa 6,Costado Descoberto,Maranhão,48745-630
Dalila Saraiva,064.874.182-69,16/12/1974,6425,89764,3,Anna_Santos67@yahoo.com,10,972246567,3472 Raul Rodovia,Apto. 822,Bragade Nossa Senhora,Piauí,09379
Júlia Carvalho,823.761.465-85,02/11/1996,6876,59954,1,Tina_Melo@live.com,42,914559804,4665 Tertuliano Rodovia,Apto. 753,Francodo Sul,Roraima,24775
Norberto Saraiva,051.230.388-68,03/12/1954,2837,19167,3,Terrance_Moraes60@live.com,39,942770410,26000 Sílvia Marginal,Apto. 198,Souzade Nossa Senhora,Mato Grosso do Sul,07571
Washington Oliveira,597.422.363-21,27/05/1999,193,75419,7,Conrad45@yahoo.com,59,966552367,1009 Martins Viela,Apto. 701,Nova Paulo,Rio de Janeiro,68673
Lorena Albuquerque,090.778.536-00,17/09/1988,9506,23389,4,Daniel38@yahoo.com,12,978392076,5324 Janaína Travessa,Sobrado 81,Velha Lorena,Acre,83661
Núbia Silva,602.338.835-33,02/11/1963,7461,30384,7,Shannon54@yahoo.com,31,954543161,23498 Marcelo Avenida,Quadra 21,Joanado Descoberto,Rondônia,40997-180
Sara Batista,387.514.430-90,07/05/1963,9792,17464,7,Kelly87@live.com,41,924778521,599 Guilherme Rua,Sobrado 53,Velha Denevalde Nossa Senhora,Tocantins,32241-327
Maria Oliveira,713.977.644-06,12/12/1981,3705,96816,9,Corey_Carvalho@hotmail.com,28,914986581,09264 Rafaela Alameda,Casa 1,Costado Sul,Bahia,48784
Fábio Santos,161.101.037-30,29/08/1985,6505,42860,2,Gilberto62@gmail.com,53,924128104,1275 Washington Alameda,Apto. 608,Pereirado Descoberto,Espírito Santo,45517
Lucas Braga,669.603.843-46,05/05/1955,4122,91479,1,Josh_Albuquerque21@gmail.com,37,952715585,3244 Sílvia Alameda,Casa 3,Grande Roberta,Amazonas,29557-498
Yuri Pereira,518.631.508-70,24/07/1980,8518,33896,2,Gerardo_Nogueira83@yahoo.com,58,913737009,0588 Paulo Rodovia,Lote 88,Xavierde Nossa Senhora,Espírito Santo,26939-522
Janaína Franco,236.962.224-53,19/11/1954,6712,93447,8,Dewey_Carvalho@gmail.com,20,935076150,9862 Macedo Ponte,Casa 9,Nova Warley,Bahia,46153-664
Pedro Franco,125.205.967-16,15/08/1982,303,95835,3,Dale71@live.com,54,983887500,70945 Elísio Viela,Quadra 76,Silvado Sul,Mato Grosso do Sul,94809
Mércia Moraes,690.877.371-06,16/10/1988,3688,43053,1,Percy50@gmail.com,33,983772512,732 Dalila Avenida,Sobrado 07,Barrosdo Descoberto,Amazonas,91013-565
Eduarda Moreira,454.777.324-66,22/06/1985,5185,28106,7,Jacquelyn_Oliveira77@yahoo.com,18,939086551,305 Santos Rodovia,Lote 03,Macedode Nossa Senhora,Acre,03047
Alexandre Pereira,554.333.782-50,29/12/1989,54,85925,8,Lucas.Pereira56@live.com,43,932866845,21452 Margarida Avenida,Sobrado 53,Pereirado Sul,Piauí,18450
Talita Santos,448.141.226-75,28/07/1978,8159,57982,7,Byron91@gmail.com,19,938592391,43637 Franco Rua,Sobrado 84,Martinsdo Sul,Mato Grosso do Sul,58473
Hélio Moreira,082.083.255-38,05/11/1976,2881,53510,1,Roxanne.Moraes18@live.com,23,967634931,639 Xavier Avenida,Quadra 20,Grande Pedro,Rio Grande do Sul,30849-874
Yuri Franco,043.635.251-69,06/10/1990,3683,60419,6,Jesse_Reis@bol.com.br,52,995468057,099 Esther Avenida,Sobrado 80,Grande Morganado Sul,Sergipe,36839
Lorraine Reis,289.311.180-74,09/03/1987,6641,93039,9,Roberta.Batista@gmail.com,51,960826414,100 Saraiva Travessa,Apto. 938,Souzado Norte,Tocantins,02139-778
Washington Moraes,830.673.456-49,08/07/1970,5343,46682,4,Bob99@bol.com.br,19,997955992,3227 Barros Avenida,Apto. 340,Grande Tertulianodo Sul,Roraima,80737
Dalila Saraiva,407.018.780-45,27/04/1966,5318,95418,7,Ana.Martins56@gmail.com,47,931783008,02361 Isabel Ponte,Casa 7,Grande Rafaelade Nossa Senhora,Rio de Janeiro,72180
Frederico Carvalho,599.236.472-26,08/04/1984,2482,85280,7,Pablo4@bol.com.br,37,983391496,37264 Barros Rua,Quadra 10,Morganade Nossa Senhora,Sergipe,71340-316
Meire Costa,713.759.975-30,26/09/1983,3150,37867,9,Taylor.Nogueira54@gmail.com,15,968603896,668 Santos Rodovia,Casa 0,Costade Nossa Senhora,São Paulo,19575-505
Yango Moreira,268.290.734-21,12/12/1999,5340,5991,4,Bobbie.Silva@yahoo.com,49,978843280,2667 Albuquerque Ponte,Casa 4,Município de Yagodo Norte,Rio Grande do Norte,66835
Danilo Pereira,506.031.797-89,16/02/1967,8299,81458,8,Wayne35@yahoo.com,22,945127481,14838 Santos Viela,Lote 40,Carvalhodo Sul,Acre,51180
Marcelo Reis,368.066.179-72,06/06/1985,342,16707,4,Ada0@gmail.com,30,972666285,30353 Fabrícia Rua,Sobrado 54,Município de Rafaeldo Sul,Paraíba,77464
Norberto Melo,821.593.044-17,28/08/1981,7168,49740,2,Elvira.Reis@hotmail.com,58,973603969,599 Macedo Rodovia,Sobrado 20,Macedode Nossa Senhora,Paraíba,07862-704
Antônio Batista,911.325.141-42,13/08/1960,2267,53178,3,Fannie_Martins7@bol.com.br,34,927643012,94516 Saraiva Marginal,Quadra 11,Mariade Nossa Senhora,Mato Grosso do Sul,95376-418
Ladislau Nogueira,693.610.257-32,28/12/1956,6213,68583,5,Vernon.Oliveira71@live.com,12,956710392,476 Carvalho Avenida,Lote 16,Santosdo Norte,Rondônia,39692
Pedro Braga,375.545.005-46,26/03/1979,4423,38239,5,Vernon.Oliveira1@gmail.com,60,930257678,2309 Talita Ponte,Casa 4,Grande Denevaldo Norte,Espírito Santo,67661
João Albuquerque,764.622.896-60,13/01/1961,4199,60729,5,Rafael70@live.com,47,971099125,425 Santos Marginal,Lote 09,Larissade Nossa Senhora,Piauí,63801-826
Mércia Batista,945.568.227-34,24/10/1959,1783,49825,7,Nathan77@hotmail.com,31,959163257,78541 Costa Avenida,Lote 87,Grande Sílviado Descoberto,Pernambuco,31204-538
Gúbio Braga,779.216.485-33,08/06/1998,6913,67126,4,Ethel.Batista73@bol.com.br,39,945785129,01603 Paula Rodovia,Sobrado 99,Albuquerquedo Descoberto,Minas Gerais,81372
Sílvia Melo,223.567.681-22,16/11/1959,4832,32394,7,Robin.Oliveira84@hotmail.com,53,945713589,40718 Souza Ponte,Casa 0,Júliode Nossa Senhora,Santa Catarina,32080-801
Karla Oliveira,604.520.230-92,30/05/1974,4328,4721,5,Ann.Nogueira97@hotmail.com,44,945156011,731 Carvalho Rua,Apto. 496,Janaínado Sul,Rio Grande do Sul,25850
Célia Santos,632.005.848-07,16/04/1971,6118,81997,7,Faith65@hotmail.com,60,973939241,20480 Barros Marginal,Lote 91,Município de Eduardado Descoberto,Rio Grande do Norte,27168-643
Nataniel Martins,137.139.402-40,13/10/1988,7387,92246,7,Brandon73@bol.com.br,43,991696062,03908 Saraiva Rodovia,Sobrado 33,Velha Júlio César,Minas Gerais,25192-407
Washington Batista,169.180.339-13,07/08/1970,2529,71071,2,Sonja.Souza@gmail.com,50,994351840,2939 Silva Marginal,Sobrado 55,Natanieldo Norte,Mato Grosso,28015
Felícia Moreira,007.953.594-11,29/05/1972,1857,60517,9,Oscar.Moraes21@gmail.com,53,916077115,6166 Félix Marginal,Quadra 55,Velha Sirineu,Paraíba,06925
Júlia Pereira,355.279.204-06,14/11/1961,6264,91513,6,Lester39@yahoo.com,25,961514141,84768 Macedo Viela,Quadra 02,Município de Natanieldo Sul,Pernambuco,64112-092
Carla Oliveira,575.439.384-99,17/03/1987,4557,62479,2,Elias.Moreira@bol.com.br,40,943309486,019 Moraes Marginal,Quadra 60,Município de Silasdo Descoberto,Pará,01236
Hélio Martins,462.829.881-52,10/04/1966,2829,39925,1,Simon_Moreira87@hotmail.com,46,995029771,003 Isabel Viela,Lote 84,Município de Cecíliado Norte,Bahia,44603-781
Breno Pereira,066.353.416-09,14/06/1981,8702,12124,6,Georgia90@yahoo.com,50,914077019,4432 Saraiva Viela,Sobrado 70,Grande Joana,Rio Grande do Sul,32227
Fábio Reis,669.027.954-52,29/07/1950,9701,33967,3,Iris43@yahoo.com,27,927322168,84852 Moreira Travessa,Sobrado 56,Vila Yuri,Mato Grosso do Sul,90461-470
Júlio Barros,479.731.696-95,30/12/1963,6633,82723,2,Carmen_Martins@yahoo.com,37,990459134,4412 Marcela Avenida,Apto. 698,Velha Eduarda,Mato Grosso,29192
Fabrício Martins,716.305.217-01,13/02/1970,8330,58637,9,Veronica8@hotmail.com,57,942984884,00153 Mércia Travessa,Lote 74,Barrosdo Sul,Paraná,47700-675
Eduardo Moreira,151.399.610-08,01/10/1958,3572,9861,4,Rodney_Carvalho@live.com,27,911362565,8973 Saraiva Marginal,Lote 73,Albuquerquedo Norte,Rio de Janeiro,50118
Júlio César Carvalho,789.696.276-42,26/03/1961,934,76646,4,Mark.Melo50@bol.com.br,35,950352326,70715 Frederico Marginal,Sobrado 17,Fabríciado Sul,Alagoas,32931-325
Karla Saraiva,964.667.130-67,25/03/1994,468,46964,7,Vernon_Costa73@gmail.com,44,948668024,5152 César Rodovia,Lote 37,Silvado Sul,Rondônia,91174
Maria Moraes,468.102.537-26,12/03/1998,5972,68562,6,Alan.Pereira74@gmail.com,36,930437058,6162 Fabiano Marginal,Sobrado 14,Vila Meire,Pará,99439
Salvador Saraiva,545.555.969-94,11/06/1952,708,29346,7,Mabel49@live.com,19,960405613,903 Félix Alameda,Sobrado 35,Velha Brenode Nossa Senhora,Amazonas,33510-685
Kléber Moraes,451.521.378-44,24/07/1979,9853,18375,8,Salvador_Saraiva2@gmail.com,11,954833703,192 Batista Viela,Casa 3,Xavierdo Sul,Alagoas,37056
Danilo Saraiva,102.366.546-83,26/10/1963,3494,15965,2,Kyle48@yahoo.com,49,919537756,9910 Natália Marginal,Casa 9,Velha Pablode Nossa Senhora,Acre,26147
Mércia Oliveira,957.942.258-31,29/11/1996,7892,97859,4,Marion_Macedo@live.com,57,913765131,44352 Martins Ponte,Lote 76,Município de Júlio Césardo Norte,Piauí,60640
Sílvia Pereira,412.111.242-31,13/10/1972,8019,45463,5,Marcos.Moreira13@live.com,40,995928013,91163 Xavier Rodovia,Quadra 70,Município de Isabel,Santa Catarina,81940-471
Bruna Oliveira,156.688.951-06,25/02/1978,910,70141,4,Brandy.Xavier58@hotmail.com,21,974974965,4075 César Rua,Apto. 948,Antôniode Nossa Senhora,São Paulo,04602-286
Ígor Carvalho,037.935.882-46,10/09/1994,506,85357,6,Denise.Moreira@yahoo.com,10,967625209,4224 Saraiva Alameda,Casa 1,Carvalhode Nossa Senhora,Paraíba,91315
Márcia Martins,214.247.101-38,05/11/1963,8725,10245,9,Patty_Macedo@gmail.com,37,979407952,16418 Sirineu Rodovia,Sobrado 19,Município de Carla,Espírito Santo,80266
Norberto Moraes,468.642.541-78,11/03/1974,1170,974,3,Rosalie_Moraes@hotmail.com,43,971046178,339 Meire Marginal,Casa 4,Vila Salvador,Acre,48755-976
Yago Xavier,912.984.872-50,03/09/1959,5228,71374,4,Frances7@bol.com.br,31,983872776,3701 Braga Travessa,Casa 0,Silvade Nossa Senhora,Alagoas,86547
Félix Macedo,655.543.846-09,27/05/1970,768,11775,7,Raquel_Moreira@live.com,26,969968807,227 Esther Rodovia,Casa 1,Vila Fabrício,Tocantins,36420
Júlia Xavier,357.879.383-30,15/12/1985,9180,38888,6,Karla_Nogueira@yahoo.com,38,931069292,2480 Moraes Marginal,Quadra 54,Grande Antônio,Maranhão,13128
Pedro Carvalho,098.137.562-68,03/03/1954,7484,45442,2,Viola.Reis96@yahoo.com,54,932960027,1491 Santos Avenida,Casa 5,Vila Rafaelade Nossa Senhora,Santa Catarina,66355
Carla Saraiva,360.983.163-41,04/08/1964,9481,62756,1,Willie79@gmail.com,41,912996245,215 Sílvia Avenida,Sobrado 72,Vila Gúbiodo Descoberto,Tocantins,08228-732
